"Sr No.","Acz Code","Acz Name","State Name","State Lgd Code","District Lgd Code","District Name","Active Date","Inactive Date"
"1","ACZ01","Western Himalayan Region","Ladakh","37","9","Leh Ladakh","2024-06-10",
"2","ACZ01","Western Himalayan Region","Ladakh","37","6","Kargil","2024-06-10",
"3","ACZ01","Western Himalayan Region","Jammu And Kashmir","1","1","Anantnag","2024-06-10",
"4","ACZ01","Western Himalayan Region","Jammu And Kashmir","1","623","Bandipora","2024-06-10",
"5","ACZ01","Western Himalayan Region","Jammu And Kashmir","1","3","Baramulla","2024-06-10",
"6","ACZ01","Western Himalayan Region","Jammu And Kashmir","1","2","Budgam","2024-06-10",
"7","ACZ01","Western Himalayan Region","Jammu And Kashmir","1","4","Doda","2024-06-10",
"8","ACZ01","Western Himalayan Region","Jammu And Kashmir","1","626","Ganderbal","2024-06-10",
"9","ACZ01","Western Himalayan Region","Jammu And Kashmir","1","5","Jammu","2024-06-10",
"10","ACZ01","Western Himalayan Region","Jammu And Kashmir","1","7","Kathua","2024-06-10",
"11","ACZ01","Western Himalayan Region","Jammu And Kashmir","1","620","Kishtwar","2024-06-10",
"12","ACZ01","Western Himalayan Region","Jammu And Kashmir","1","622","Kulgam","2024-06-10",
"13","ACZ01","Western Himalayan Region","Jammu And Kashmir","1","8","Kupwara","2024-06-10",
"14","ACZ01","Western Himalayan Region","Jammu And Kashmir","1","10","Poonch","2024-06-10",
"15","ACZ01","Western Himalayan Region","Jammu And Kashmir","1","11","Pulwama","2024-06-10",
"16","ACZ01","Western Himalayan Region","Jammu And Kashmir","1","12","Rajouri","2024-06-10",
"17","ACZ01","Western Himalayan Region","Jammu And Kashmir","1","621","Ramban","2024-06-10",
"18","ACZ01","Western Himalayan Region","Jammu And Kashmir","1","627","Reasi","2024-06-10",
"19","ACZ01","Western Himalayan Region","Jammu And Kashmir","1","624","Samba","2024-06-10",
"20","ACZ01","Western Himalayan Region","Jammu And Kashmir","1","625","Shopian","2024-06-10",
"21","ACZ01","Western Himalayan Region","Jammu And Kashmir","1","13","Srinagar","2024-06-10",
"22","ACZ01","Western Himalayan Region","Jammu And Kashmir","1","14","Udhampur","2024-06-10",
"23","ACZ01","Western Himalayan Region","Himachal Pradesh","2","16","Chamba","2024-06-10",
"24","ACZ01","Western Himalayan Region","Himachal Pradesh","2","18","Kangra","2024-06-10",
"25","ACZ01","Western Himalayan Region","Himachal Pradesh","2","17","Hamirpur","2024-06-10",
"27","ACZ01","Western Himalayan Region","Himachal Pradesh","2","26","Una","2024-06-10",
"28","ACZ01","Western Himalayan Region","Himachal Pradesh","2","25","Solan","2024-06-10",
